"","x"
"Doc01.txt",4
"Doc02.txt",4
"Doc03.txt",4
"Doc04.txt",4
"Doc05.txt",3
"Doc06.txt",4
"Doc07.txt",4
"Doc08.txt",4
"Doc09.txt",4
"Doc10.txt",4
"Doc11.txt",2
"Doc12.txt",2
"Doc13.txt",2
"Doc14.txt",2
"Doc15.txt",3
"Doc16.txt",2
"Doc17.txt",2
"Doc18.txt",2
"Doc19.txt",2
"Doc20.txt",2
"Doc21.txt",2
"Doc22.txt",2
"Doc23.txt",3
"Doc24.txt",3
"Doc25.txt",3
"Doc26.txt",3
"Doc27.txt",3
"Doc28.txt",3
"Doc29.txt",3
"Doc30.txt",3
"Doc31.txt",3
"Doc32.txt",3
"Doc33.txt",3
"Doc34.txt",3
"Doc35.txt",1
"Doc36.txt",1
"Doc37.txt",1
"Doc38.txt",1
"Doc39.txt",1
"Doc40.txt",1
"Doc41.txt",1
